8888	Utotem Convenience	Utotem Oilton 	6122 Rosewood Street	Oilton	TX	78371	C	3000000	B	5129384590	Lajoie, Allen	5129384590	alajoie@utotem.com	1013~1349~1375~1440~1459
7777	Betterway Store	Betterway Research 	6834 Austin Street	Research	TX	78750	A	2000000	B	5128616234	Hoffman, Jacqueline	5128616234	jhoffman@betterway.com	1035~1200~1496
6666	Utotem Convenience	Utotem Oilton 	6122 Rosewood Street	Oilton	TX	78371	C	2500000	B	5129384590	Lajoie, Allen	5129384590	alajoie@utotem.com	1034~1080~1153~1269~1423~1476
9999	Utotem Convenience	Utotem Oilton 	6122 Rosewood Street	Oilton	TX	78371	C	3200000	B	5129384590	Lajoie, Allen	5129384590	alajoie@utotem.com	1011~1079~1112~1253~1340~1387
4042	Thicket Supermarket	Thicket Joaquin 	2471 Westheimer Street	Joaquin	TX	75954	C	2500000	C	5127529708	Irwin, Sheryl~Hoffman, Allen	5127529708~5123901476	sirwin@thicket.com~ahoffman@thicket.com	1156~1222~1357~1395~1500
2226	Thicket Supermarket	Thicket Egypt 	3366 Prospect Street	Egypt	TX	77436	B	2300000	B	5122809486	Bennett, Gary~Walsh, Allen	5122809486~5122319011	gbennett@thicket.com~awalsh@thicket.com	1210~1422~1438~1449
6974	Whole Health Market	Whole Warren 	2264 Fannin Street	Warren	TX	77664	B	2500000	A	5125377160	Koslowski, Joe~Clark, Terri~Kennedy, Vernon~Grady, Helen	5125377160~5124315355~5124473612~5129305877	jkoslowski@wholehealthmarket.com~tclark@wholehealthmarket.com~vkennedy@wholehealthmarket.com~hgrady@wholehealthmarket.com	1032~1063~1114~1196~1198~1231
6873	Ko-Z Korner Store	Ko-Z Fate 	1420 Willard Street	Fate	TX	75132	B	2800000	C	5125562529	Cipro, David~Bailey, Kenneth~Wilkins, Wayne	5125562529~5124307750~5128833303	dcipro@kozkorner.com~kbailey@kozkorner.com~wwilkins@kozkorner.com	1041~1110~1116~1281~1326~1361
1016	Park-n-Stop Supermarket	Park-n-Stop Nazareth 	7157 Hadley Street	Nazareth	TX	79063	A	2200000	A	5127521707	Zakarian, Sheryl~Wagner, Kathleen~Yamaguchi, Anne~Anderson, Donald	5127521707~5126226445~5129499420~5125386009	szakarian@parknstop.com~kwagner@parknstop.com~ayamaguchi@parknstop.com~danderson@parknstop.com	1040~1134~1493
7279	Thicket Thrifty	Thicket Mineral 	5324 Calumet Street	Mineral	TX	78125	A	2000000	C	5123214943	Guenther, Ernest~Vandervliet, Cheryl	5123214943~5126956212	eguenther@thicketthrifty.com~cvandervliet@thicketthrifty.com	1019~1027~1212~1216~1287
8592	Economy Mart	Economy Vanderbilt 	7132 Louisiana Street	Vanderbilt	TX	77991	C	1500000	A	5124302745	Wood, LeeAnn	5124302745	lwood@economymart.com	1007
6371	One-Stop Discount	One-Stop Nixon 	7722 Holman Street	Nixon	TX	78140	A	2000000	C	5126655246	Unruh, Allen~Nystrom, Brian~Mahoney, Kenneth~Papadopoulos, Susan	5126655246~5126989060~5124699297~5129467284	aunruh@onestopdiscount.com~bnystrom@onestopdiscount.com~kmahoney@onestopdiscount.com~spapadopoulos@onestopdiscount.com	1015~1270~1417
